team,rating,matches_played,last_match_date
Shetland,1482.4491334872498,58,2025-07-17
South Yemen,1482.339762250573,3,1982-11-25
South Ossetia,1481.7387891360152,17,2019-12-08
Papua New Guinea,1481.3812859619622,155,2025-11-23
Kabylia,1481.0667910766465,6,2018-06-09
Martinique,1480.9025322655214,331,2026-03-29
Palau,1480.4767309392694,2,1998-08-01
Gambia,1480.4751084929042,266,2026-05-29
Gozo,1480.4231270335604,14,2025-07-17
Vanuatu,1480.3113412267126,214,2026-06-06
Aymara,1480.2955217453048,2,2022-06-19
Ticino,1479.011126585014,2,2023-08-06
Romani people,1478.441391459627,7,2016-05-16
Kenya,1478.1184977225923,706,2026-06-04
Mozambique,1476.5500872993448,375,2026-06-09
Manchukuo,1475.672509192653,3,1942-08-09
North Vietnam,1473.4223455622255,24,1970-09-20
Sápmi,1473.3589298310592,29,2023-07-16
Székely Land,1473.1475076865502,27,2023-07-02
Găgăuzia,1471.8517249964195,3,2006-11-21
Saarland,1470.736678223927,9,1956-06-06
Togo,1470.233687425171,447,2026-06-09
Madagascar,1469.2797999583436,320,2026-06-02
Saint Barthélemy,1468.5551810543093,10,2023-03-10
Western Isles,1467.18428388641,34,2025-07-17
Marshall Islands,1466.8972498754558,2,2025-08-16
Western Sahara,1466.6721124003343,9,2013-06-28
Guyana,1464.351217563651,313,2026-03-30
Dominican Republic,1463.9640662195798,159,2026-06-03
Two Sicilies,1462.3115226827174,6,2023-07-02
Gotland,1462.0584661420487,30,2017-06-29
Equatorial Guinea,1461.1783365582519,179,2026-06-09
Sark,1460.2986205698053,4,2003-07-03
Nicaragua,1460.0068156272212,222,2026-06-05
Vatican City,1459.747954767117,8,2022-04-22
Tajikistan,1458.929021429516,201,2026-06-09
Kyrgyzstan,1457.2518673613638,191,2026-06-09
Provence,1456.097425070893,23,2013-06-28
Greenland,1455.9538488646153,77,2024-06-01
Rwanda,1455.6213951302523,280,2026-03-30
Ambazonia,1454.3229435446185,6,2007-06-07
Barawa,1453.7327208168647,12,2019-05-25
Kazakhstan,1453.386166965478,269,2026-06-09
Solomon Islands,1452.197475734758,214,2026-03-30
Zimbabwe,1451.0493857577678,496,2026-05-30
Lebanon,1450.9082069303092,333,2025-11-26
Comoros,1449.7495044537807,151,2026-06-09
Micronesia,1449.739085260972,7,2003-07-07
Mayotte,1449.6326326654391,38,2023-08-26
Sierra Leone,1447.1202559840951,301,2026-06-09
Mauritania,1446.3340314569175,273,2026-06-08
Sudan,1444.4632679447357,469,2026-01-03
Orkney,1443.9022447752088,28,2025-07-17
Raetia,1440.168742633819,26,2023-08-06
Vietnam Republic,1438.8271295293657,195,1975-03-23
Western Australia,1438.2204183898082,32,1980-11-25
French Guiana,1437.5546909441969,179,2024-11-19
Darfur,1435.8247629318826,7,2014-06-07
Niger,1434.3389750583606,260,2026-06-08
Armenia,1434.2224353136091,272,2026-06-09
Chagos Islands,1434.116053833269,16,2019-12-29
Namibia,1433.9268747782255,279,2026-03-28
Saint Helena,1433.6560315109316,8,2023-07-13
Saint Pierre and Miquelon,1432.1486926341902,7,2012-09-28
Malawi,1426.7882819342549,644,2026-06-09
Cuba,1425.4953035860788,397,2026-03-29
Luxembourg,1423.5045323422344,467,2026-06-06
Yemen DPR,1423.3809646629616,25,1989-11-05
Estonia,1421.4982979284302,550,2026-06-09
Botswana,1419.7556340354686,332,2026-03-31
Turkmenistan,1418.8035636552413,175,2025-11-18
Hitra,1418.6842366962253,23,2025-07-17
Tanzania,1418.032986291221,599,2026-03-29
Ethiopia,1416.099449297599,409,2026-06-09
Liberia,1414.458429492081,302,2026-06-09
Kiribati,1408.5021541422773,11,2011-09-05
Azerbaijan,1400.0153827273784,310,2026-06-09
Burundi,1399.789559476482,218,2026-05-26
Bermuda,1398.4867979040584,198,2026-06-06
Puerto Rico,1396.6229659445114,163,2026-06-05
Guinea-Bissau,1395.6881664580683,190,2026-03-31
Lesotho,1393.9332324630095,296,2026-06-04
Wallis Islands and Futuna,1392.8739154010677,24,1995-08-20
Congo,1391.941161550285,406,2025-10-14
Saint Vincent and the Grenadines,1387.9283037536816,236,2026-03-29
Philippines,1385.8922437445526,342,2026-06-09
Cyprus,1385.7113807011233,426,2026-06-07
Sint Maarten,1385.3336630257577,60,2026-03-30
Saare County,1385.3247111598907,35,2017-06-29
Hong Kong,1383.0203496459915,447,2026-06-09
Singapore,1381.1342712473497,696,2026-06-05
Saint Kitts and Nevis,1377.4555521097427,226,2026-03-30
Central African Republic,1373.3960094340803,138,2026-06-09
Tibet,1370.9424180742403,21,2025-07-03
Faroe Islands,1370.715794631424,287,2026-06-09
Tuvalu,1363.9138464741236,39,2023-11-30
Samoa,1362.3130465966021,71,2024-11-18
India,1354.0563580279963,534,2026-06-09
Grenada,1349.9199682696299,260,2026-05-16
Falkland Islands,1349.3903011458547,33,2023-07-13
Saint Martin,1347.6591969029926,68,2026-03-29
Latvia,1346.7396552953658,461,2026-06-09
Belize,1345.8278125081886,121,2026-03-30
Malta,1343.1858311257467,458,2026-06-05
Frøya,1340.1229519328579,37,2025-07-17
Yemen,1339.2467783819316,266,2025-11-26
Saint Lucia,1337.6565545432532,230,2026-03-27
Lithuania,1335.981083185503,433,2026-06-09
Eswatini,1335.6380645666948,274,2025-10-13
Montserrat,1331.4029585412102,66,2025-06-10
Moldova,1331.1879534818654,299,2026-06-09
Bonaire,1326.2058877610289,44,2026-06-06
South Sudan,1320.4969431690067,78,2025-11-25
Cook Islands,1312.7021846027378,53,2024-09-06
Chad,1308.5341489291013,138,2025-11-17
Antigua and Barbuda,1299.1878936984526,231,2025-11-18
Eritrea,1298.462525454399,71,2019-09-10
Aruba,1285.0263110022045,152,2026-06-06
Afghanistan,1284.2895728478081,147,2026-06-10
Mauritius,1281.9762773144819,325,2025-10-13
Dominica,1275.5379130263545,215,2026-03-30
Tonga,1273.2087103459987,68,2024-09-09
Turks and Caicos Islands,1271.9594573869235,52,2025-08-16
Myanmar,1267.9042667299218,512,2026-06-09
Barbados,1266.2806454774018,302,2026-03-29
São Tomé and Príncipe,1266.2101951938535,71,2025-10-13
Northern Mariana Islands,1261.0409234311026,30,2024-04-07
Bangladesh,1248.2159318808906,305,2026-06-05
Cayman Islands,1241.9884870729882,120,2026-06-06
Gibraltar,1239.5579506883753,160,2026-06-06
Nepal,1231.6043128993347,268,2025-11-18
Taiwan,1218.3419849826223,245,2025-11-18
Bahamas,1214.2849386030152,67,2026-03-29
American Samoa,1211.3181168277742,55,2026-03-28
Cambodia,1204.3332078979727,295,2026-06-09
United States Virgin Islands,1195.4043680672612,78,2026-03-28
Pakistan,1194.1288492152885,251,2026-06-10
British Virgin Islands,1191.335941007494,123,2026-06-06
Maldives,1186.4143563269777,233,2026-06-01
Alderney,1183.9644464770886,135,2022-04-23
Andorra,1183.071752495835,229,2026-06-07
Mongolia,1180.3559683331232,103,2026-06-05
Guam,1169.8318429170627,123,2026-06-06
Djibouti,1168.82376008761,111,2025-11-26
Somalia,1164.4542431282798,124,2025-11-26
Sri Lanka,1156.1000458743035,251,2025-11-18
Seychelles,1138.8864765409285,176,2025-10-14
Laos,1136.1845279622623,224,2025-11-19
Anguilla,1131.723890772466,91,2026-03-29
Liechtenstein,1114.8444506149935,259,2026-06-07
Brunei,1114.0974270156692,137,2025-11-18
Macau,1084.1900364296823,148,2026-03-29
Timor-Leste,1077.809985674118,86,2025-11-18
Bhutan,1064.5376104615902,110,2026-06-04
San Marino,1021.7329536241435,225,2026-06-09
